,nyc,mia,yul,los,rio,hkg,sin,dac,msq,syd,edi,cpt,auh,bjs,del
svo,7480.0,9190.0,7030.0,6240.0,11500.0,7150.0,8450.0,5550.0,671.0,14500.0,2490.0,10200.0,3770.0,5790.0,4360.0
svq,5730.0,6980.0,5550.0,3560.0,7760.0,10900.0,11700.0,8950.0,3140.0,17900.0,2060.0,8320.0,5840.0,9590.0,7550.0
svx,8350.0,10100.0,7870.0,7450.0,12900.0,5760.0,7260.0,4390.0,2090.0,13100.0,3780.0,10800.0,3640.0,4380.0,3400.0
swf,84.0,1830.0,441.0,8470.0,7840.0,12900.0,15200.0,12600.0,7070.0,16000.0,5180.0,12600.0,11000.0,10900.0,11700.0
sxb,6200.0,7740.0,5870.0,4680.0,9400.0,9300.0,10300.0,7530.0,1500.0,16600.0,1110.0,9240.0,4880.0,7950.0,6200.0
sxf,6390.0,8000.0,6020.0,5180.0,9990.0,8740.0,9910.0,7050.0,948.0,16100.0,1160.0,9610.0,4630.0,7350.0,5760.0
sxm,2740.0,1960.0,3200.0,7290.0,5040.0,15500.0,17400.0,14500.0,8430.0,16300.0,6490.0,10400.0,11800.0,13600.0,13300.0
sxr,11100.0,12900.0,10600.0,7890.0,13900.0,4040.0,4730.0,1900.0,4260.0,11000.0,6230.0,9560.0,2220.0,3720.0,642.0
syd,16000.0,15000.0,16000.0,15500.0,13500.0,7370.0,6290.0,9080.0,15100.0,0.0,16900.0,11000.0,12100.0,8950.0,10400.0
syr,317.0,1960.0,322.0,8640.0,8080.0,12600.0,15100.0,12400.0,7030.0,15800.0,5180.0,12800.0,11000.0,10700.0,11600.0
syx,13400.0,14900.0,12900.0,11400.0,17100.0,624.0,2030.0,2040.0,7810.0,7340.0,9610.0,11200.0,5660.0,2430.0,3460.0
syz,10500.0,12100.0,10100.0,5750.0,11800.0,6130.0,6260.0,3780.0,3380.0,12500.0,5230.0,7920.0,600.0,5810.0,2380.0
szg,6600.0,8140.0,6260.0,4670.0,9640.0,8980.0,9960.0,7150.0,1220.0,16300.0,1440.0,9110.0,4470.0,7680.0,5810.0
tab,3540.0,2640.0,4010.0,7000.0,4230.0,16300.0,17900.0,15000.0,8870.0,15900.0,6950.0,9700.0,11900.0,14300.0,13600.0
tak,11200.0,12400.0,10700.0,13100.0,18700.0,2350.0,4810.0,4360.0,7950.0,7790.0,9190.0,14200.0,7580.0,1690.0,5380.0
tao,11300.0,12800.0,10800.0,11900.0,17900.0,1640.0,4220.0,3170.0,7020.0,8420.0,8480.0,13100.0,6320.0,546.0,4100.0
tas,10200.0,11900.0,9690.0,7530.0,13500.0,4670.0,5630.0,2750.0,3380.0,11800.0,5310.0,9830.0,2320.0,3930.0,1580.0
tbp,4970.0,3270.0,5490.0,9370.0,4550.0,17400.0,19500.0,17500.0,11500.0,13200.0,9530.0,10600.0,14700.0,15600.0,16400.0
tbs,8960.0,10600.0,8560.0,5650.0,11500.0,6690.0,7400.0,4630.0,1850.0,13700.0,3770.0,8820.0,2120.0,5840.0,3250.0
tcq,6550.0,4990.0,7070.0,8510.0,2860.0,19300.0,18000.0,17900.0,12100.0,12800.0,10300.0,8790.0,14300.0,17500.0,16400.0
ter,3960.0,5130.0,3860.0,4700.0,7050.0,12100.0,13300.0,10500.0,4390.0,19500.0,2590.0,9350.0,7640.0,10500.0,9160.0
tfn,5340.0,6260.0,5310.0,3190.0,6390.0,12300.0,12800.0,10300.0,4520.0,18700.0,3220.0,7850.0,6970.0,11000.0,8840.0
tfs,5360.0,6240.0,5330.0,3170.0,6340.0,12300.0,12900.0,10300.0,4570.0,18700.0,3270.0,7820.0,7000.0,11000.0,8880.0
tgd,7320.0,8820.0,7000.0,4280.0,9670.0,8740.0,9460.0,6740.0,1410.0,15800.0,2200.0,8500.0,3800.0,7640.0,5340.0
tgu,3230.0,1490.0,3720.0,9880.0,6310.0,15300.0,17900.0,15800.0,10300.0,13800.0,8340.0,12300.0,14000.0,13500.0,15000.0
thr,9850.0,11500.0,9450.0,5840.0,11800.0,6180.0,6610.0,3960.0,2740.0,12900.0,4650.0,8450.0,1280.0,5600.0,2540.0
tia,7440.0,8920.0,7110.0,4180.0,9640.0,8740.0,9410.0,6710.0,1510.0,15700.0,2330.0,8370.0,3720.0,7680.0,5310.0
tif,10300.0,11700.0,10000.0,4330.0,10300.0,7520.0,7210.0,5090.0,3770.0,13200.0,5250.0,6580.0,1480.0,7320.0,3750.0
tij,3890.0,3620.0,3940.0,12400.0,9960.0,11800.0,14300.0,13100.0,9820.0,12100.0,8350.0,15900.0,13600.0,10300.0,13100.0
tip,7480.0,8790.0,7260.0,3070.0,8590.0,9640.0,9990.0,7470.0,2620.0,16100.0,2880.0,7420.0,4120.0,8720.0,6040.0
tjm,8480.0,10300.0,8000.0,7740.0,13200.0,5490.0,7070.0,4220.0,2380.0,12900.0,4040.0,11000.0,3730.0,4070.0,3300.0
tkk,12900.0,13300.0,12600.0,16300.0,17700.0,4350.0,5340.0,6780.0,11400.0,4600.0,12600.0,14400.0,10400.0,5040.0,8110.0
tll,6650.0,8350.0,6210.0,6150.0,11000.0,7840.0,9250.0,6370.0,639.0,15200.0,1710.0,10400.0,4520.0,6360.0,5200.0
tls,5990.0,7420.0,5730.0,4120.0,8670.0,9980.0,10900.0,8130.0,2200.0,17200.0,1410.0,8800.0,5250.0,8670.0,6760.0
tlv,9130.0,10600.0,8800.0,4310.0,10300.0,7740.0,7970.0,5470.0,2490.0,14200.0,3980.0,7530.0,2110.0,7130.0,4040.0
